  1 | supino-reto-barra | Supino reto com barra | Barbell Bench Press | Barbell Bench Press | Barra | Peitoral
  2 | supino-reto-halteres | Supino reto com halteres | Dumbbell Bench Press | Dumbbell Bench Press | Halteres | Peitoral
  3 | supino-reto-maquina | Supino reto na máquina | Machine Chest Press | Machine Chest Press | Máquina | Peitoral
  4 | supino-reto-smith | Supino reto no Smith | Smith Bench Press | Smith Bench Press | Smith | Peitoral
  5 | flexao | Flexão de braços | Push-Up | Push-Up | Peso corporal | Peitoral
  6 | supino-inclinado-barra | Supino inclinado com barra | Incline Barbell Bench Press | Incline Barbell Bench Press | Barra | Peitoral superior
  7 | supino-inclinado-halteres | Supino inclinado com halteres | Incline Dumbbell Bench Press | Incline Dumbbell Bench Press | Halteres | Peitoral superior
  8 | supino-inclinado-maquina | Supino inclinado na máquina | Incline Machine Chest Press | Incline Machine Chest Press | Máquina | Peitoral superior
  9 | supino-inclinado-smith | Supino inclinado no Smith | Smith Incline Bench Press | Smith Incline Bench Press | Smith | Peitoral superior
 10 | peck-deck | Peck deck / crucifixo máquina | Pec Deck Fly | Pec Deck Fly | Máquina | Peitoral
 11 | crucifixo-halteres | Crucifixo com halteres | Dumbbell Fly | Dumbbell Fly | Halteres | Peitoral
 12 | crossover-cabo | Crossover no cabo | Cable Standing Fly | Cable Standing Fly | Cabo | Peitoral
 13 | crossover-baixo-cima | Crossover de baixo para cima | Low To High Cable Fly | Low To High Cable Fly | Cabo | Peitoral superior
 14 | barra-fixa-pronada | Barra fixa pronada | Pull-Up | Pull-Up | Peso corporal | Dorsal
 15 | barra-fixa-supinada | Barra fixa supinada | Chin-Up | Chin-Up | Peso corporal | Dorsal
 16 | puxada-frente-aberta | Puxada frente pegada aberta | Wide Grip Lat Pulldown | Wide Grip Lat Pulldown | Cabo | Dorsal
 17 | puxada-frente-neutra | Puxada frente pegada neutra | Neutral Grip Lat Pulldown | Neutral Grip Lat Pulldown | Cabo | Dorsal
 18 | barra-fixa-assistida | Barra fixa assistida | Assisted Pull-Up | Assisted Pull-Up | Máquina | Dorsal
 19 | remada-curvada-barra | Remada curvada com barra | Barbell Bent Over Row | Barbell Bent Over Row | Barra | Costas
 20 | remada-unilateral-halter | Remada unilateral com halter | Dumbbell One Arm Row | Dumbbell One Arm Row | Halteres | Costas
 21 | remada-baixa-cabo | Remada baixa no cabo | Seated Cable Row | Seated Cable Row | Cabo | Costas
 22 | remada-apoiada-halteres | Remada com peito apoiado | Chest Supported Dumbbell Row | Chest Supported Dumbbell Row | Halteres | Costas
 23 | remada-maquina | Remada na máquina | Machine Seated Row | Machine Seated Row | Máquina | Costas
 24 | remada-t | Remada T | T-Bar Row | T-Bar Row | Barra/Máquina | Costas
 25 | pulldown-bracos-retos | Pulldown com braços retos | Cable Straight Arm Pulldown | Cable Straight Arm Pulldown | Cabo | Dorsal
 26 | pullover-halter | Pullover com halter | Dumbbell Pullover | Dumbbell Pullover | Halteres | Dorsal
 27 | pullover-maquina | Pullover na máquina | Machine Pullover | Machine Pullover | Máquina | Dorsal
 28 | face-pull | Face pull | Cable Face Pull | Cable Face Pull | Cabo | Deltoide posterior
 29 | voador-inverso | Voador inverso | Reverse Pec Deck Fly | Reverse Pec Deck Fly | Máquina | Deltoide posterior
 30 | crucifixo-inverso-cabo | Crucifixo inverso no cabo | Cable Reverse Fly | Cable Reverse Fly | Cabo | Deltoide posterior
